,TIME,幣別,現金買價,現金賣價,即期買價,即期賣價,現金中價,現金賣價差
0,2020-09-04 09:04:35,美金,28.935,29.605,29.285,29.385,29.27,-0.16
1,2020-09-04 09:04:35,港幣,3.629,3.833,3.755,3.815,3.73,-0.02
2,2020-09-04 09:04:35,英鎊,37.77,39.89,38.77,39.19,38.83,-0.28
3,2020-09-04 09:04:35,澳幣,20.95,21.73,21.22,21.45,21.34,-0.23
4,2020-09-04 09:04:35,加拿大幣,21.86,22.77,22.25,22.47,22.31,-0.19
5,2020-09-04 09:04:35,新加坡幣,20.93,21.84,21.42,21.6,21.38,-0.12
6,2020-09-04 09:04:35,瑞士法郎,31.45,32.65,32.11,32.4,32.05,-0.07
7,2020-09-04 09:04:35,日圓,0.2672,0.28,0.2745,0.2785,0.27,-0.00
8,2020-09-04 09:04:35,南非幣,-,-,1.712,1.792,-,-
9,2020-09-04 09:04:35,瑞典幣,2.98,3.5,3.32,3.42,3.24,-0.01
10,2020-09-04 09:04:35,紐元,19.2,20.05,19.58,19.78,19.62,-0.23
11,2020-09-04 09:04:35,泰幣,0.8071,0.9971,0.9195,0.9595,0.90,-0.01
12,2020-09-04 09:04:35,菲國比索,0.5301,0.6631,-,-,0.60,-0.00
13,2020-09-04 09:04:35,印尼幣,0.00163,0.00233,-,-,0.00,0.00
14,2020-09-04 09:04:35,歐元,33.96,35.3,34.58,34.98,34.63,-0.09
15,2020-09-04 09:04:35,韓元,0.02293,0.02683,-,-,0.02,-0.00
16,2020-09-04 09:04:35,越南盾,0.00089,0.00139,-,-,0.00,-0.00
17,2020-09-04 09:04:35,馬來幣,5.965,7.59,-,-,6.78,-0.04
18,2020-09-04 09:04:35,人民幣,4.189,4.351,4.261,4.311,4.27,-0.03
